Algorithm,Run,OriginalSize,CompressedSize,CompressionTime(ns),DecompressionTime(ns),CompressionRatio(%),CompressionSavings(%),CompressionSpeedRatio(Perc/ms),Correctness
LZW,1,94,188,1029300,678900,200.00,-100.00,0.0002,Pass
LZW,2,94,188,925401,835199,200.00,-100.00,0.0002,Pass
LZW,3,94,188,920501,650201,200.00,-100.00,0.0002,Pass
LZW,4,94,188,907700,643500,200.00,-100.00,0.0002,Pass
LZW,5,94,188,991400,689100,200.00,-100.00,0.0002,Pass
LZW,6,94,188,934899,655000,200.00,-100.00,0.0002,Pass
LZW,7,94,188,905900,646600,200.00,-100.00,0.0002,Pass
LZW,8,94,188,940299,651000,200.00,-100.00,0.0002,Pass
LZW,9,94,188,899700,657100,200.00,-100.00,0.0002,Pass
LZW,10,94,188,904401,645101,200.00,-100.00,0.0002,Pass
LZW,11,94,188,907500,668301,200.00,-100.00,0.0002,Pass
LZW,12,94,188,910100,662500,200.00,-100.00,0.0002,Pass
LZW,13,94,188,918800,736000,200.00,-100.00,0.0002,Pass
LZW,14,94,188,889401,636899,200.00,-100.00,0.0002,Pass
LZW,15,94,188,900100,635800,200.00,-100.00,0.0002,Pass
LZW,16,94,188,913401,638300,200.00,-100.00,0.0002,Pass
LZW,17,94,188,954900,645899,200.00,-100.00,0.0002,Pass
LZW,18,94,188,886200,616800,200.00,-100.00,0.0002,Pass
LZW,19,94,188,921900,635900,200.00,-100.00,0.0002,Pass
LZW,20,94,188,901201,632801,200.00,-100.00,0.0002,Pass
LZW,21,94,188,934300,653900,200.00,-100.00,0.0002,Pass
LZW,22,94,188,907600,635699,200.00,-100.00,0.0002,Pass
LZW,23,94,188,884300,649100,200.00,-100.00,0.0002,Pass
LZW,24,94,188,916499,662199,200.00,-100.00,0.0002,Pass
LZW,25,94,188,922600,649099,200.00,-100.00,0.0002,Pass
LZW,26,94,188,931900,649300,200.00,-100.00,0.0002,Pass
LZW,27,94,188,905100,759701,200.00,-100.00,0.0002,Pass
LZW,28,94,188,903500,642000,200.00,-100.00,0.0002,Pass
LZW,29,94,188,910799,679101,200.00,-100.00,0.0002,Pass
LZW,30,94,188,969801,650600,200.00,-100.00,0.0002,Pass
LZW,31,94,188,928900,640301,200.00,-100.00,0.0002,Pass
LZW,32,94,188,888400,621800,200.00,-100.00,0.0002,Pass
LZW,33,94,188,958700,644600,200.00,-100.00,0.0002,Pass
LZW,34,94,188,883900,638199,200.00,-100.00,0.0002,Pass
LZW,35,94,188,876700,630401,200.00,-100.00,0.0002,Pass
LZW,36,94,188,904199,674499,200.00,-100.00,0.0002,Pass
LZW,37,94,188,926500,638299,200.00,-100.00,0.0002,Pass
LZW,38,94,188,950100,651300,200.00,-100.00,0.0002,Pass
LZW,39,94,188,914700,626499,200.00,-100.00,0.0002,Pass
LZW,40,94,188,914700,635899,200.00,-100.00,0.0002,Pass
LZW,41,94,188,932001,694301,200.00,-100.00,0.0002,Pass
LZW,42,94,188,906900,640800,200.00,-100.00,0.0002,Pass
LZW,43,94,188,910699,658700,200.00,-100.00,0.0002,Pass
LZW,44,94,188,1007100,663699,200.00,-100.00,0.0002,Pass
LZW,45,94,188,963600,669900,200.00,-100.00,0.0002,Pass
LZW,46,94,188,912400,645700,200.00,-100.00,0.0002,Pass
LZW,47,94,188,925100,653601,200.00,-100.00,0.0002,Pass
LZW,48,94,188,896199,623399,200.00,-100.00,0.0002,Pass
LZW,49,94,188,913400,708099,200.00,-100.00,0.0002,Pass
LZW,50,94,188,927400,627500,200.00,-100.00,0.0002,Pass
RLE,1,94,379,370300,360799,403.19,-303.19,0.0011,Pass
RLE,2,94,379,355401,353901,403.19,-303.19,0.0011,Pass
RLE,3,94,379,394100,393899,403.19,-303.19,0.0010,Pass
RLE,4,94,379,346200,372400,403.19,-303.19,0.0012,Pass
RLE,5,94,379,380499,381199,403.19,-303.19,0.0011,Pass
RLE,6,94,379,400699,359400,403.19,-303.19,0.0010,Pass
RLE,7,94,379,583301,508100,403.19,-303.19,0.0007,Pass
RLE,8,94,379,392299,347700,403.19,-303.19,0.0010,Pass
RLE,9,94,379,331000,349700,403.19,-303.19,0.0012,Pass
RLE,10,94,379,340800,379700,403.19,-303.19,0.0012,Pass
RLE,11,94,379,408900,480699,403.19,-303.19,0.0010,Pass
RLE,12,94,379,377199,361500,403.19,-303.19,0.0011,Pass
RLE,13,94,379,342101,362101,403.19,-303.19,0.0012,Pass
RLE,14,94,379,342200,356799,403.19,-303.19,0.0012,Pass
RLE,15,94,379,454901,450801,403.19,-303.19,0.0009,Pass
RLE,16,94,379,396800,355900,403.19,-303.19,0.0010,Pass
RLE,17,94,379,353399,345400,403.19,-303.19,0.0011,Pass
RLE,18,94,379,347200,357601,403.19,-303.19,0.0012,Pass
RLE,19,94,379,366699,418799,403.19,-303.19,0.0011,Pass
RLE,20,94,379,360099,358800,403.19,-303.19,0.0011,Pass
RLE,21,94,379,357899,358700,403.19,-303.19,0.0011,Pass
RLE,22,94,379,356000,361900,403.19,-303.19,0.0011,Pass
RLE,23,94,379,367600,542100,403.19,-303.19,0.0011,Pass
RLE,24,94,379,386800,356600,403.19,-303.19,0.0010,Pass
RLE,25,94,379,402600,367799,403.19,-303.19,0.0010,Pass
RLE,26,94,379,422100,389500,403.19,-303.19,0.0010,Pass
RLE,27,94,379,492200,446300,403.19,-303.19,0.0008,Pass
RLE,28,94,379,372201,355100,403.19,-303.19,0.0011,Pass
RLE,29,94,379,335600,349500,403.19,-303.19,0.0012,Pass
RLE,30,94,379,387401,382600,403.19,-303.19,0.0010,Pass
RLE,31,94,379,429699,485499,403.19,-303.19,0.0009,Pass
RLE,32,94,379,372900,383900,403.19,-303.19,0.0011,Pass
RLE,33,94,379,363199,398000,403.19,-303.19,0.0011,Pass
RLE,34,94,379,357300,361999,403.19,-303.19,0.0011,Pass
RLE,35,94,379,407999,497600,403.19,-303.19,0.0010,Pass
RLE,36,94,379,404601,363200,403.19,-303.19,0.0010,Pass
RLE,37,94,379,373499,382999,403.19,-303.19,0.0011,Pass
RLE,38,94,379,339201,359499,403.19,-303.19,0.0012,Pass
RLE,39,94,379,410700,451400,403.19,-303.19,0.0010,Pass
RLE,40,94,379,398499,390700,403.19,-303.19,0.0010,Pass
RLE,41,94,379,356301,373799,403.19,-303.19,0.0011,Pass
RLE,42,94,379,336400,362899,403.19,-303.19,0.0012,Pass
RLE,43,94,379,448700,474700,403.19,-303.19,0.0009,Pass
RLE,44,94,379,462900,389101,403.19,-303.19,0.0009,Pass
RLE,45,94,379,340400,366800,403.19,-303.19,0.0012,Pass
RLE,46,94,379,354100,403901,403.19,-303.19,0.0011,Pass
RLE,47,94,379,376901,440400,403.19,-303.19,0.0011,Pass
RLE,48,94,379,348200,367200,403.19,-303.19,0.0012,Pass
RLE,49,94,379,359601,377300,403.19,-303.19,0.0011,Pass
RLE,50,94,379,367200,357900,403.19,-303.19,0.0011,Pass
BZIP2,1,94,166,1371401,434299,176.60,-76.60,0.0001,Pass
BZIP2,2,94,166,1153099,399000,176.60,-76.60,0.0002,Pass
BZIP2,3,94,166,1241000,376999,176.60,-76.60,0.0001,Pass
BZIP2,4,94,166,1196201,321300,176.60,-76.60,0.0001,Pass
BZIP2,5,94,166,1450800,405001,176.60,-76.60,0.0001,Pass
BZIP2,6,94,166,948499,470300,176.60,-76.60,0.0002,Pass
BZIP2,7,94,166,823501,401700,176.60,-76.60,0.0002,Pass
BZIP2,8,94,166,760200,353000,176.60,-76.60,0.0002,Pass
BZIP2,9,94,166,1428600,416401,176.60,-76.60,0.0001,Pass
BZIP2,10,94,166,1274801,370099,176.60,-76.60,0.0001,Pass
BZIP2,11,94,166,1249499,378199,176.60,-76.60,0.0001,Pass
BZIP2,12,94,166,1413001,433699,176.60,-76.60,0.0001,Pass
BZIP2,13,94,166,1240900,379799,176.60,-76.60,0.0001,Pass
BZIP2,14,94,166,1327700,415900,176.60,-76.60,0.0001,Pass
BZIP2,15,94,166,1292700,360900,176.60,-76.60,0.0001,Pass
BZIP2,16,94,166,1237400,359199,176.60,-76.60,0.0001,Pass
BZIP2,17,94,166,1315401,391400,176.60,-76.60,0.0001,Pass
BZIP2,18,94,166,1292000,371101,176.60,-76.60,0.0001,Pass
BZIP2,19,94,166,1223600,478201,176.60,-76.60,0.0001,Pass
BZIP2,20,94,166,1225700,388100,176.60,-76.60,0.0001,Pass
BZIP2,21,94,166,1303300,435401,176.60,-76.60,0.0001,Pass
BZIP2,22,94,166,1381000,378101,176.60,-76.60,0.0001,Pass
BZIP2,23,94,166,1251800,410300,176.60,-76.60,0.0001,Pass
BZIP2,24,94,166,1229399,420700,176.60,-76.60,0.0001,Pass
BZIP2,25,94,166,1251899,386901,176.60,-76.60,0.0001,Pass
BZIP2,26,94,166,1229900,389501,176.60,-76.60,0.0001,Pass
BZIP2,27,94,166,1384800,390900,176.60,-76.60,0.0001,Pass
BZIP2,28,94,166,794900,359000,176.60,-76.60,0.0002,Pass
BZIP2,29,94,166,743301,373000,176.60,-76.60,0.0002,Pass
BZIP2,30,94,166,781900,390201,176.60,-76.60,0.0002,Pass
BZIP2,31,94,166,812899,371299,176.60,-76.60,0.0002,Pass
BZIP2,32,94,166,742400,361299,176.60,-76.60,0.0002,Pass
BZIP2,33,94,166,816099,455400,176.60,-76.60,0.0002,Pass
BZIP2,34,94,166,791000,431800,176.60,-76.60,0.0002,Pass
BZIP2,35,94,166,755401,386701,176.60,-76.60,0.0002,Pass
BZIP2,36,94,166,2105501,455800,176.60,-76.60,0.0001,Pass
BZIP2,37,94,166,766800,348499,176.60,-76.60,0.0002,Pass
BZIP2,38,94,166,690999,324799,176.60,-76.60,0.0003,Pass
BZIP2,39,94,166,679101,376499,176.60,-76.60,0.0003,Pass
BZIP2,40,94,166,779400,351200,176.60,-76.60,0.0002,Pass
BZIP2,41,94,166,686199,371200,176.60,-76.60,0.0003,Pass
BZIP2,42,94,166,678900,310000,176.60,-76.60,0.0003,Pass
BZIP2,43,94,166,801400,351600,176.60,-76.60,0.0002,Pass
BZIP2,44,94,166,662999,331700,176.60,-76.60,0.0003,Pass
BZIP2,45,94,166,690900,353800,176.60,-76.60,0.0003,Pass
BZIP2,46,94,166,722700,436601,176.60,-76.60,0.0002,Pass
BZIP2,47,94,166,725801,331399,176.60,-76.60,0.0002,Pass
BZIP2,48,94,166,697800,312000,176.60,-76.60,0.0003,Pass
BZIP2,49,94,166,684200,368100,176.60,-76.60,0.0003,Pass
BZIP2,50,94,166,742301,345800,176.60,-76.60,0.0002,Pass
LZ77,1,94,282,2234800,1053300,300.00,-200.00,0.0001,Pass
LZ77,2,94,282,2271200,1049500,300.00,-200.00,0.0001,Pass
